Date,Close,High,Low,Open,Volume
2010/1/4,6.440330029,6.455075825,6.391277553,6.422875746,493729600
2010/1/5,6.451466084,6.487879369,6.417459939,6.458086827,601904800
2010/1/6,6.348847866,6.47704674,6.342227122,6.451466993,552160000
2010/1/7,6.337109566,6.379843052,6.291066512,6.37231948,477131200
2010/1/8,6.379241467,6.379843754,6.291368951,6.328684264,447610800
2010/1/11,6.322965145,6.409935207,6.273009442,6.40391635,462229600
2010/1/12,6.251039982,6.312732448,6.211918626,6.295277365,594459600
2010/1/13,6.339215755,6.347642155,6.14210341,6.255556455,605892000
2010/1/14,6.302501202,6.33349791,6.290162948,6.322965313,432894000
2010/1/15,6.197173595,6.367804556,6.195367939,6.347641388,594067600
2010/1/19,6.471327782,6.475841925,6.236598349,6.26939992,730007600
2010/1/20,6.37171793,6.486674892,6.304608875,6.46741495,612152800
2010/1/21,6.261572838,6.419263647,6.235692561,6.382248889,608154400
2010/1/22,5.951008797,6.244421252,5.933253972,6.22275417,881767600
2010/1/25,6.111105919,6.160157991,6.024436397,6.094253523,1065699600
2010/1/26,6.197476387,6.431303802,6.096361981,6.19777733,1867110000
2010/1/27,6.255857468,6.337109633,6.00457539,6.224860753,1722568400
2010/1/28,5.9973526,6.184234091,5.979597776,6.167081152,1173502400
2010/1/29,5.77977705,6.084926315,5.725307591,6.051221514,1245952400
2010/2/1,5.860125542,5.898344478,5.756904562,5.789104641,749876400
2010/2/2,5.894134045,5.907977421,5.819502197,5.895639161,698342400
2010/2/3,5.995545864,6.024736913,5.850795595,5.873365902,615328000
2010/2/4,5.779475689,5.96966675,5.765030432,5.920312926,757652000
2010/2/5,5.882093906,5.89834482,5.743362468,5.796929491,850306800
2010/2/8,5.841770172,5.954922299,5.838158857,5.889017407,478270800
2010/2/9,5.904063702,5.943486016,5.860728728,5.910984986,632886800
2010/2/10,5.871863365,5.916402513,5.845983079,5.895035165,370361600
2010/2/11,5.978694916,6.011196344,5.839963469,5.864640382,550345600
2010/2/12,6.030156136,6.068074138,5.883299212,5.961843301,655468800
2010/2/16,6.121039391,6.129766334,6.064463325,6.077102526,543737600
2010/2/17,6.095460892,6.148425248,6.044601931,6.144813932,436396800
2010/2/18,6.10689497,6.135785089,6.046406647,6.067772791,422825200
2010/2/19,6.068976402,6.115019862,6.052124002,6.074694719,415469600
2010/2/22,6.031360626,6.093955557,5.994345847,6.089140871,390563600
2010/2/23,5.930244446,6.05874424,5.889618363,6.018719641,575094800
2010/2/24,6.038583755,6.062056503,5.953719044,5.96545582,460566400
2010/2/25,6.07890892,6.104789212,5.92513068,5.939876484,665126000
2010/2/26,6.157752514,6.174303971,6.078907484,6.090342912,507460800
2010/3/1,6.289260387,6.304607667,6.182728641,6.191756524,550093600
2010/3/2,6.285047054,6.344632123,6.251642805,6.317547672,566546400
2010/3/3,6.299492359,6.315743274,6.257662908,6.287756391,372052800
2010/3/4,6.341020107,6.347339906,6.278425212,6.297986895,366041200
2010/3/5,6.58899498,6.611565299,6.458990443,6.468319674,899620400
2010/3/8,6.592905998,6.623300024,6.567928141,6.620892883,429889600
